no,항목분류,질환명(한글),질환명(영문),관련질환명,증상,원인,진단,치료
311,신경계통의 질환(G00-G99),라이터병,Reiter’s disease,"Reactive arthritis,Seronegative spondyloarthropathy,","결막염, 다발성 관절염, 설사, 요도염, 피부발진","아직 정확한 원인이 밝혀지지는 않았으나 질환과 관련이 있다고 알려져 있는 요인으로는 임질균,  유레아플라즈마,  살모넬라,  시겔라 등이 있다.","특징적인 임상 소견과 진찰 소견,  가족력,  분자유전학적 검사","항생제,  비스테로이드성 항염제,  면역조절제"
312,신경계통의 질환(G00-G99),라포라 병,Laforas disease,"라포라 진행 간대성근경련뇌전증(Lafora progressive myoclonic epilepsy),",간대성근경련뇌전증 등,"EPM2A, NHLRC1(EPM2B) 유전자의 돌연변이","임상양상, 간질양상, 피부생검, 유전자검사",항경련제
313,신경계통의 질환(G00-G99),람베르트-이튼 근무력 증후군,Lambert-Eaton Myasthenic Syndrome,"이튼-람베르트 증후군(Eaton-Lambert Syndrome),람베르트-이튼 증후군(Lambert-Eaton Syndrome),람베르트-이튼의 근무력 증후군(Myasthenic Syndrome of Lambert-Eaton),람베르트-이튼 증후군(LEMS),","골반과 대퇴부 근육이 약해지고 피로해짐, 구강 건조증, 구음장애, 땀 감소, 발기부전, 변비, 소세포폐암(환자의 60%)",자가면역질환,"근전도검사,  양전자방출단층촬영(PET),  기관지경검사","스테로이드제제,  면역억제제,  항암치료(암발생시)"
314,"선천 기형,변형 및 염색체 이상(Q00-Q99)",랑거 기드온 증후군,"Langer-giedion syndrome, LGS","Trichorhinophalangeal syndrome type II(TRPS2),Langer-Giedion Chromosome Region(LGCR),","경도의 성장장애, 구상배 모양의 코, 난청, 다발성 외골증, 모발, 소두증, 수족의 발달장애, 순열, 연성 피부",상염색체 8번 장완(8q23.2-q24.1)의 유전적 결손에 의한 TRPS1와 EXT1 유전자 결손,"세포 유전학 검사, 방사선학적 검사, 청력검사","수술적 치료, 난청에 대한 보청기 착용"
315,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),랑게르한스 세포 조직구증,Langerhans cell histiocytosis," 달리 분류되지 않은 랑게르한스 세포 조직구증(Langerhans cell histiocytosis, NEC), X 조직구증(Histiocytosis X),랑게르한스 세포 조직구증(LCH), 랑게르한스 세포 육아종증(Langerhans-Cell Granulomatosis),비지질성 그물내피증, 또는 비지질성세망내피증(Non-Lipid Reticuloendotheliosis),  전신성 무백혈성 그물내피증, 또는 전신성 무백혈성 세망내피증(Systemic Aleukemic Reticuloendotheliosis),타입 II 조직구증(Type II Histiocytosis),","간과 비장 비대, 골병변, 두통, 무력감, 발열, 요붕증, 운동조화불능증, 체중감소, 폐  의 이상, 피부 발진",정확한 원인은 알려지지 않음 ,"혈액검사,  X-선검사,  조직검사 ","비스테로이드 항염증제,  스테로이드 주사,  항암치료 "
316,"선천 기형,변형 및 염색체 이상(Q00-Q99)",러셀-실버 증후군,Russel-Silver syndrome,"러셀 실버 증후군(RSS, Russell Silver Syndrome),러셀 증후군(Russell Syndrome),러셀 실버 왜소증(Russell-Silver Dwarfism),실버 러셀 증후군(SRS, Silver-Russell Syndrome),실버 증후군(Silver Syndrome),실버-러셀 왜소증(Silver-Russell Dwarfism),실버-러셀 증후군(Silver-Russell Syndrome),","성장지연, 작은 턱, 삼각형 얼굴모양, 청색공막(푸른 공막: Blue sclera),        편측비대, 높고 좁은 입천장, 측만지증, 밀크 커피색 반점(cafe-au-lait spot), 생식기 기형, 조기사춘기","돌연변이,  상염색체 우성 형질로 유전되지만, 드물게 상염색체 열성 또는 X-연관 우성 형질로 유전되기도 함","임상적 특징 소견, 산전초음파검사,  유전자검사(세포유전학적 검사, 분자유전학적 검사),산전초음파 검사","충분한 영양공급(위관영양방법),  대증요법(Symptomatic treatment),  지지요법(Supportive therapy), 유전상담"
317,신경계통의 질환(G00-G99),레녹스-가스토 증후군,Lennox-Gastaut syndrome,"소아기 간질성 뇌병증 (Epileptic encephalopathy, ),","경련, 발달부전, 지능저하, 충동 조절장애, 행동 장애","대부분은 특별한 원인을 찾을 수 없음 ,  뇌의 발달 기형 ,  유전성 뇌질환,   유전성 대사질환 ,  임신 및 출산 전후의 뇌손상 ,  심한 뇌염 ,  뇌수막염 등","임상증상기준, 뇌파검사(EEG), 자기동명영상(MRI)","항간질제, 케톤생성식이, 뇌량절제술, 미주신경자극술"
318,"선천 기형,변형 및 염색체 이상(Q00-Q99)",레리-웨일 증후군,Leri-Weill syndrome,"이상 연골 골형성증(Leri-Weill  dyschondrosteosis ),연골이형성증(Leri-Weill  dyschondrosteosis),SHOX 유전자 결핍증(short stature homeobox gene defect),","단신, 마데렁 변형 (Madelung’s deformity), 중간 지절 형성 부전(mesomelia), 휘어있는 전완부, 경미한 내반슬 변형, 족관절 외반 변형, 근육 비대(muscular hypertrophy)",X 또는 Y염색체에 있는 SHOX 유전자 돌연변이 ,"중간 지절 형성 부전 ,  마데렁 변형 ,  단중간 지절 형성 부전 ,  마데렁 변형 ,  단신 ,  SHOX 유전자 검사 ","성장 호르몬 치료 ,  어린이에서 변형의 빠른 진행을 지연시키기 위해 부목 고정 ,  원위 요골 절골술과 척골 단축을 실시 ,  원위 요척 관절 성형술 ,  내반슬에 대해 외반 교정 절골술    "
319,눈 및 눈 부속기의 질환(H00-H59),레베르 선천성 흑암시,Leber congenital Amaurosis,"Leber Congenital Amaurosis (LCA),Congenital amaurosis of retinal origin,Congenital retinal blindness (CRB),Dysgenesis neuroepithelialis retinae ook,Hereditary epithelial dysplasia of retina,Hereditary retinal aplasia,Heredoretinopathia congenitalis,Leber abiotrophy,Leber congenital tapetoretinal degeneration,Lebers amaurosis   ,","시력소실, 사시, 눈떨림, 눈부심, 백내장, 원추각막","유전자의 돌연변이 (GUCY2D, RPE65, SPATA7, AIPL1, LCA5, RPGRIP1, CRB1, CEP290, IMPDH1, RD3, RDH12, CRX)","망막전위도 검사, 유전자 돌연변이 분석","증상에 대한 보조적 치료, 유전상담"
320,눈 및 눈 부속기의 질환(H00-H59),레베르시신경병증,Leber hereditary optic neuropathy,"레버 시신경병증(Lebers optic neuropathy),유전성 시신경병증(Hereditary optic neuroretinopathy),LHON,Lebers optic atrophy,Lebers Disease,Lebers Optic Neuropathy (LHON),Lebers optic neuropathy,Hereditary optic neuroretinopathy,",통증 없는 양안성 중심시력 저하,사립체유전자 돌연변이,"특징적 임상양상 , 가족력 , 유전자 검사 , 안과적 검사(시력 및 시야검사, 형광안저혈관조영 검사, 시유발전위검사, 망막전위검사","유전상담 , 약물치료 , 금연금주 , 저시력기구, 비타민 E"
321,"내분비,영양 및 대사 질환(E00-E90)",레쉬-니한 증후군,Lesch-Nyhan syndrome,"HGPRT 또는 HPRT 결핍증(Hypoxanthine-guanine phosphoribosyl transferase deficiency),레쉬-니한병(Lesch-Nyhan disease),Kelley-Seegmiller 증후군(Kelley-Seegmiller Syndrome),니한 증후군(Nyhan's syndrome),소아통풍(Juvenile gout),","정신지체, 발달지연 (무도성 무정위 운동, 강직과 근긴장 이상을 보이는 뇌성마비), 구음장애, 자해, 오렌지색의 요산 결정뇨, 혈뇨, 요산에 의한 신결석, 폐쇄성신병증, 급성통풍성관절염"," X-연관열성유전, HPRT 유전자 돌연변이로 인한 HGPRT 또는 HPRT 결핍","혈액내의 요산 증가, 소변으로 요산 배설 증가, 적혈구나 섬유아세포를 배양하여 HPRT 효소 활성도 측정, 분자유전검사  ","알로퓨리놀 투여, 행동치료, 억제 요법, 재활치료"
322,순환기계통의 질환(I00-I99),"레이노 병, 레이노 현상(이차성)","Raynaud’s disease, Raynaud’s phenomenon (secondary)","일차 레이노 병의 약어(PRP),일차 레이노 병(Primary Raynauds Disease),대칭 질식(Symmetric Asphyxia),","손의 청색증과 발적(붉게됨), 손의 무감각, 쑤심, 통증, 저림, 두근거림, 갑갑한 감각, 핀과 바늘로 찌르는 느낌, 감각이상",원인 알 수 없음. 차가움이나 스트레스로 인한 혈액 순환 장애.,"임상 검사,  혈액 검사","예방적 자기 관리,  약물치료,  외과적 수술 치료"
323,정신 및 행동 장애(F00-F99),레트증후군,Rett’s syndrome,"자폐증(Autism),조화운동불능증(Ataxia),자신의 의도대로 손을 사용할 수 없음(and Loss of Purposeful Hand Use),","의사소통 기능 상실, 반복적이고 무의미한 손놀림, 자폐증과 같은 행동, 보행 행위상실증, 성장지연, 후천성 소두증, 발작, 다리의 경축, 운동실조  ",X 염색체에 있는 MECP2 단백질의 생산을 조절하는 MECP2 유전자의 돌연변이에 의해 이 질환이 생길 수 있다는 가능성  ,"과학적 검사방법은 없음,임상적인 기준으로 진단이 이루어 짐","항경련제, 물리치료,음악치료, 작업치료"
324,"내분비,영양 및 대사 질환(E00-E90)",레프리코니즘,Leprechaunism,"요정증(Donohue syndrome),Type A 인슐린저항성증후군(Insulin resistance syndrome ),","고인슐린혈증, 자궁 내 성장지연, 큰 귀, 돌출한 눈, 소하악증, 넓은 외비공, 치은 비후, 흑색 극세포 증가증, 지방이영양증, 다모증, 성기 및 유방의 비후, 직장 탈출, 난소의 낭종",인슐린 수용체 유전자(INSR)의 돌연변이로 인한 기능장애,"임상증상, 혈액검사, 유전자검사",혈당강하제
325,신경계통의 질환(G00-G99),레프섬병,Refsum’s disease,"Refsum disease, classic,Phytanic acid oxidase deficiency,Heredopathia atactica polyneuritiformis,Hereditary motor and sensory neuropahty IV,","무후각증, 뼈의 이상, 야맹증, 어린선, 운동실조증",Phytanoyl-Coa 2 hydroxylase(PAHX) 와 2-Hydroxyphytanoyl-Coa lyase 결핍,phytanic acid 측정(GC-MS) 및 관련유전자인 PHYH와 PEX7의 돌연변이 검사 ,식이요법(phytanic acid를 함유한 음식의 제한)
326,눈 및 눈 부속기의 질환(H00-H59),렌즈소안구증후군,Lenz microphthalmia syndrome,"Lenz 이상형태증 증후군(Lenz dysmorphogenetic syndrome),Lenz 증후군(Lenz syndrome),Lenz 형성이상증(Lenz dysplasia),다발성 기형을 동반한 작은안구증과 관련 (Microphthalmia with multiple associated anomalies (MAA)),","귀와 치아의 기형, 비뇨기계기형, 손가락기형, 입술 또는 입천장갈림증, 작은머리증, 작은안구증, 지능 저하","Xq27-q28 부위와 연관된 유전자의 돌연변이, 현재 유일하게 BCOR (MAA2 locus) 돌연변이에 의한 것이 알려짐","임상 증상, 유전적 진단","안과적 치료(눈부위 확장), 물리치료 및 작업치료, 골격계 및 치과의 일반적인 치료"
327,"선천 기형,변형 및 염색체 이상(Q00-Q99)",로렌스-문(-바르데)-비들 증후군,Laurence-Moon(-Bardet)-Biedl syndrome,"비들-바르데 증후군(Biedl-Bardet syndrome),알스트롬증후군(Alstrom syndrome),로렌스-문 증후군(Laurnece-Moon syndrome),로렌스-문-바르데-비들 증후군(Laurnece-Moon-Bardet-Biedl syndrome),McKusick-Kaufman 증후군(McKusick-Kaufman syndrome),","망막의 색소성 변성, 다지증, 비만, 학습장애, 고환과 난소 기능의 저하 ","상염색체열성유전 , BBS 유전자 돌연변이 ","특징적인 임상소견으로 진단 , 유전자 분석 ","증상에 따른 보존적 치료 , 비만의 관리 , 기형에 대한 수술적 교정 , 특수교육 "
328,"선천 기형,변형 및 염색체 이상(Q00-Q99)",로버츠 증후군,Roberts syndrome,"Pseudothalidomide 증후군(Pseudothalidomide syndrome),  사지 형성 저하-털 형성 저하-안면 혈관종증후군( Hypomelia-hypotrichosis-facial hemangioma syndrome), Roberts-SC phocomelia증후군( Roberts-SC phocomelia syndrome), 구개구순열과 동반된 장골 결핍증 ( long bone deficiencies associated with cleft lip-palate  ),","사지 결손-중간 부분의 소실로 바다표범발증, 손 기형, 성장 지연, 안면부 기형-토순, 구개열, 혈관종, 안구 ","상염색체열성유전 ,  세포 유전학적으로 중심체의 조기 분리로 인하여 염색분체의 짝짓기에 문제 발생 ,  8번 염색체  단완 21.1에 위치한 ESCO2 유전자의 돌연변이   ","염색체 검사세포-분열중기에, 80%의 환아에서 중심절를 구성하고 있는 이형염색질이 조기에 분리되는 현상을 관찰 ,  ESCO2 유전자 검사","사지 및 구순 구개열 의 교정 수술 ,  보조기 착용 ,  특수 교육 "
329,"내분비,영양 및 대사 질환(E00-E90)",로베 증후군,Lowe’s syndrome,"로웨 증후군(Lowe syndrome),눈뇌콩팥 이상증 (Oculocerebrorenal dystrophy ), Lowe의 눈뇌콩팥증후군(OCRL) ( Oculocerebrorenal syndrome of Lowe (OCRL) ), 판코니증후군 ( Fanconi syndrome/ Fanconis syndrome ), Lowe-Terrey-MacLachlan증후군 (  Lowe-Terrey-MacLachlan syndrome ),","선천성 백내장, 신생아나 유아기의 근육긴장저하와 지능 저하, 콩팥세뇨관 기능장애",OCRL1 유전자 돌연변이 ,OCRL1 관련 효소 부족과 유전자 돌연변이를 검사하여 확진 ,"백내장 및 녹내장 치료 ,  전해질 및 산증 교정 ,  호르몬 치료,물리, 작업, 언어 치료 "
330,"선천 기형,변형 및 염색체 이상(Q00-Q99)",로비노-실버만-스미스 증후군,Robinow-Silverman-Smith syndrome,"로비노 증후군(Robinow Syndrome),태아 얼굴 증후군(Fetal Face Syndrome),로비노 왜소증(Robinow Dwarfism),얼굴과 생식기 이상을 가진 말단뼈발생이상(Acral Dysostosis with Facial and Genital Abnormalities),중사지증을 가진 갈비척추 분할 결함(Costovertebral segmentation defect with mesomelia (formerly),","작은 키(왜소증), 대두증, 두눈먼거리증, 낮은 콧대, 긴 인중, 혀유착증, 귀의 기형, 잇몸 증식증, 골격계 기형(오목가슴, 척추측만증, 측만지증, 손발톱의 형성부전, 반척추뼈증), 생식기 기형, 심장 기형, 생식기 모양이 모호해서 남녀 구분하기가 어려움, 작은음경증, 잠복고환증, 음핵(clitoris)의 발육부전, 수신증, 탈장","상염색체 우성 또는 열성 형태로 유전, 유전 형태가 명확하게 분류되지 않는 경우도 있음(약 20%), 열성 형태에서, 9q22에 위치하는 ROR2 유전자의 돌연변이  ","  혈액검사, X-선검사, 분자유전학검사, 산전 초음파검사,","수술요법,  물리치료,  보조기 및 치아교정기 등"
331,"선천 기형,변형 및 염색체 이상(Q00-Q99)",로빈 증후군,Robin syndrome,"피에르 로빈(Pierre Robin),피에르(삐에르) 로빈 이상(Pierre Robin Anomalad),피에르(삐에르) 로빈 콤플렉스(Pierre Robin Complex),피에르(삐에르) 로빈 변형(Pierre Robin Deformity),피에르 로빈 기형 연쇄(Pierre Robin Malformation Sequence),피에르 로빈 증후군(Pierre Robin Syndrome),피에르 로빈 세징후(Pierre Robin Triad),로빈 이상(Robin Anomalad),로빈 콤플렉스(Robin Complex),로빈 증후군(Robin syndrome),설하수, 작은턱, 구개열( Glossoptosis, Micrognathia, and Cleft Palate),","작은턱증(소하악증, Micrognathia), 설하수증(Glossoptosis), 구개열(입천장 갈림증), 중이염, 각막경화증, 근시, 원시, 난시, 심혈관계 이상(폐고혈압, 폐동맥판협착증, 동맥관개존증), 고관절 기형, 대퇴부 기형, 합지증, 손발가락부족증, 척추전만증, 척추후만증), 간질발작 (epilepsy), 수두증, 근육긴장저하, 잠복고환증(남성) ",정확한 원인은 알려지지 않음,"산전 초음파검사,  X-선검사,  전산화 단층촬영(CT),  자기공영상(MRI)","수술요법,  기관절개술(Tracheostomy: 호흡에 문제가 있을 경우)"
332,순환기계통의 질환(I00-I99),로이 디에츠 증후군,Loeys-Dietz syndrome,",","대동맥의 팽창과 박리, 선천성 심장기형, 양안간 격리증, 두개열, 척추측만증, 오목가슴, 관절 과운동성, 손가락굽증, 뇌기형  ","상염색체 우성형질로 유전, TGF-베타 수용체(TGFBR1, TGFBR2) 유전자의 돌연변이","특징적인 임상 소견, 심초음파, 골격검사, 가족력 확인, 유전자 검사","베타-adrenergic 차단제, 대동맥 치환술, 수술요법, 유전 상담"
333,"선천 기형,변형 및 염색체 이상(Q00-Q99)",로켄-시니어 증후군,Loken Senior syndrome,"Juvenile nephronophthisis with Leber aaurosis,Nephronophthisis Type 5,Juvenile Nephronophthisis with Retinal Dystrophy,Joubert syndrome ,","콩팥황폐증, 망막장애","상염색체 열성유전, QCB1/NPHP5, NPHP13 등 다양한 섬모병증(ciliopathy) 유전자 변이",임상적 증상 및 유전자 변이 확인,대증적 치료
334,순환기계통의 질환(I00-I99),뢰플러 심내막염,Loffler’s endocarditis,"과다호산구증후군(hypereosinophilic syndrome),호산구성 심내막심근병(eosinophilic endomyocardial disease),섬유조직 형성 심내막염(fibroplastic endocarditis),",제한성 심근병증에 의한 심부전,호산구의 심장 침투에 의한 염증반응,"심장 초음파, 심장 MRI, 심장 생검",약물치료
335,"선천 기형,변형 및 염색체 이상(Q00-Q99)",루빈스타인-테이비 증후군,Rubinstein-Taybi syndrome,"Rubinstein 증후군, Broad thumb-hallux 증후군, Michail-Matsoukas-Theodorou-Rubinstein-Taybi 증후군(Broad thumbs and great toes, characteristic facies, and mental retardation),넓은 엄지손가락-발가락 증후군(Broad thumb-hallux syndrome),","소두증, 진한 눈썹, 처진 눈, 매부리코, 처진 귀, 이상한 모양의 귀, 작은 상악 및 턱, 눈꺼풀처짐, 넓은 엄지손가락, 넓고 큰 첫 번째 발가락, 합지증, 다지증, 척주측만증, 척주후만증, 흉골 및 늑골 이상, 골성숙 지연, 저신장, 발달지연, 정신지연, 근육긴장저하, 언어지연, 행동장애 및 정신 질환, 선천심장병, 신장 기형 동반","상염색체우성유전 , 16p13.3 미세결실 , CREBBP (16p13.3) 유전자 돌연변이 혹은 미세결실 , EP300 (22q13.2) 유전자 돌연변이","특징적 외모와 임상 증상으로 진단 , 염색체 검사 , FISH 검사로 CREBBP 미세결실 확인 , CREBBP와 EP300 유전자 돌연변이 분석","특별한 치료 방법은 없음 , 개인의 증상에 따라 적합한 치료를 제공 , 물리치료 , 작업치료 , 언어치료 , 특수교육 , 손가락뼈 변형에 대한 정형외과 수술"
336,신경계통의 질환(G00-G99),루시-레비증후군,Roussy-Levy syndrome,"유전운동감각신경병증,샤르코-마리-투스병,","근위축, 만곡족, 보행실조, 수족의 떨림, 심부건반사 소실","MPZ 유전자의 점상 돌연변이, PMP22 유전자의 중복 및 점상 돌연  변이","가족력 조사, 임상 양상, 신경전도 검사, 조직 검사, 유전자 검사","대증치료, 운동재활치료, 정형외과적 수술, 유전상담"
337,근육골격계통 및 결합조직의 질환(M00-M99),류마티스성 다발근통,Polymyalgia rheumatica,"류마티스(성) 다발성 근육통(Polymyalgia rheumatica),관절염성 증후군(Anarthritic Syndrome),관절염성 류마티스 병(Arthritic Rheumatoid Disease),거대세포 동맥염(Giant cell arteritis),","근육통, 류마티스 관절염과 비슷한 증상",정확한 원인은 알려지지 않았으나 자가 면역 질환으로 추정,혈액 검사,"비스테로이드성 소염제(NSAIDs),  스테로이드제제(Prednisone)  "
338,순환기계통의 질환(I00-I99),류마티스심장염,Rheumatic carditis,"류마티스성 판막질환(rheumatic valvulopathy),자가면역성판막질환(autoimmune valvulopathy),류마티스 열(rheumatic fever),A 군β 용혈성 연쇄상구균감염(group A-β hemolytic streptococcal infection),","관절염과 관절통, 무도병, 심방성 부정맥에 의한 증상, 심부전, 용혈성빈혈, 피부발진(erythema marginatum)","A 군β 용혈성 연쇄상구균감염후 균독성물질 중 M-단백에 대한 자가항체가 심장, 관절막, 뇌 기저부 신경절을 침범하여 나타남","revised Jones criteria ,  혈액검사(ASO, anti DNase B, antihyaluroidase) ,  acute phase reactants (ESR, CRP) ,  rapid Ag test ,  throat culture ,  흉부 X-선 사진 ,  심전도 ,  심초음파 ,  심도자 및 심혈관조영술","benzathine penicillin ,  oral penicillin V ,  항염증제(anti-imflammatory agents) ,  심부전치료(digoxin, other inotropics, diuretics, vasodilator) ,  수술(판막성형술, 판막치환술)"
339,근육골격계통 및 결합조직의 질환(M00-M99),류마티스혈관염,Rheumatoid vasculitis,",","신경병증, 심장병증, 피부 괴사, 발열 등의 전신 증상","원인 불명, 비정상적인 면역 반응","임상 소견 및 조직 검사, 필요시 근전도검사","고용량 글루코코르티코이드(glucocorticoid) ,  시클로포스파미드(cyclophosphamide)"
340,"내분비,영양 및 대사 질환(E00-E90)",류코트리엔 C4 합성 결핍증,Leukotriene C4-synthesis deficiency,"LTC4 합성 결핍증(Leukotriene C4 synthase deficiency),",근긴장 저하,상염색체 열성유전,"뇌척수액의 류코트리엔,유전자 검사",대증치료
341,"내분비,영양 및 대사 질환(E00-E90)",리델 갑상선염,Riedel thyroiditis,"리델 섬유성 갑상선염(Riedel's fibrous thyroiditis),목양 갑상선종(Riedel`s struma),만성 섬유성 갑상선염(Chronic fibrous thyroiditis),",갑상선 기능 저하,원인 불명(산발적),"갑상선 초음파, 전산화단층촬영술(CT)스캔","갑상선 절제술, 갑상선 호르몬 제재"
342,근육골격계통 및 결합조직의 질환(M00-M99),리브만-삭스병,Liebman-Sacks disease,"리브만-삭스 심내막염(Libman-Sacks endocarditis),SLE 연관성 판막병(SLE-associated valve disease),비전형적 사마귀모양 심내막염(atypical verrucous endocarditis),","심내막염, 판막 역류에 의한 호흡곤란",전신성 홍반성 루푸스의 항인지질 항체와 관련된 염증반응,경흉부 심초음파를 통한 판막의 관찰,"약물치료, 판막 치환술"
343,"선천 기형,변형 및 염색체 이상(Q00-Q99)",리이거이상,Rieger’s anomaly,"앞방각발생장애-치아발육부전증(Goniodysgenesis-Hypodontia),홍채앞방각발생장애(Iridogoniodysgenesis With Somatic Anomalies),리이거 증후군(RGS),악센펠트-리이거 증후군(Axenfeld-Rieger syndrome),","치아가 없거나, 발육이 덜 된 치아, 경미한 안면 이상과 눈, 특히 녹내장 등의 다양한 기형이 특징","상염색체 우성 질환, 제 1형인 경우 4번 염색체 장완에 위치한((4q25-q26)  PITX2의 돌연변이. 제 2형인 경우, 13번 유전자(13q14)와 연관되어 있다고 밝혀졌다. ","임상적 특징 소견, 유전진단","수술, 대증 치료"
344,신생물(C00-D48),리프라우메니 증후군,Li-Fraumeni syndrome,"LFS,Sarcoma, breast, leukemia, and adrenal gland (SBLA) syndrome,Sarcoma family syndrome of Li and Fraumeni,SBLA syndrome,","유방암, 골육종, 연조직 육종, 백혈병, 뇌종양, 악성부신피질암 등",TP53의 불활성화와 p53유전자의 결함,"TP53 유전자 검사, 가계도 분석",증상에 따른 치료
345,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),림프관종,Lymphangioma,"림프관종(Lymphangioma),","피부 병변(물집, 낭종), 국소 압박 증상",림프 수조(lymphatic cistern)의 축적,"흉부 방사선 촬영, 초음파, 컴퓨터단층촬영, 자기공명영상","경화요법, 절제술"
346,호흡기계통의 질환(J00-J99),림프관평활근종증,Lymphangioleiomyomatosis,"결절성 경화증(Tuberous sclerosis),","객담, 객혈, 기침, 복부팽만, 오심, 천명음, 호흡곤란","유전성(체세포 돌연변이)의심,  에스트로겐치료","임상양상,  고해상도 전산화단층촬영술(High Resolution CT or HRCT),  폐조직검사,  폐기능검사","호르몬 치료,  폐이식술"
347,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),림프구기능항원-1결손,Lymphocyte function antigen-1[LFA-1] defect,",",반복적인 감염,유전자 이상,혈액검사,조혈모세포이식
348,"내분비,영양 및 대사 질환(E00-E90)",마그네슘대사장애,Disorders of magnesium metabolism,"저마그네슘혈증,","신경전달, 근육 수축, 단백질 합성, 저칼슘혈증","장관 내 흡수장애, 신세뇨관 장애",혈중 마그네슘 농도검사,마그네슘 투여
349,"내분비,영양 및 대사 질환(E00-E90)",마노스축적증,Mannosidosis,"알파-만노사이드축적증(Alpha-mannosidosis, α-mannosidosis),용해소체 알파-D-만노사이드분해효소 결핍(Lysosomal Alpha-D-mannosidase deficiency),베타-만노사이드축적증(Beta-mannosidosis, β-mannosidosis),","면역결핍, 안면 및 골격 이상, 청각장애, 인지기능저하","상염색체 열성유전, MAN2B1 유전자 이상으로 인한 알파-만노사이드 분해효소 결핍",알파-만노사이드분해효소 활성 측정,"골수이식, 합병증 예방 및 치료"
350,"선천 기형,변형 및 염색체 이상(Q00-Q99)",마델룽변형,Madelung’s deformity,"마델렁 증후군(Madelung syndrome),레리 웨일 증후군(Leri-Weil syndrome),외상성 마델렁(Posttraumatic Madelung),다발성 골연골종증(Multiple osteochondromatosis),","수근부의 기능장애, 수부(손)의 기능 장애","원인 불명(산발적), 드물게 상염색체 우성 유전","단순 방사선 사진(x-ray), 전산화단층촬영술(CT)스캔, 자기공명영상(MRI)","외과술(교정 절골술), 신연술"
351,"내분비,영양 및 대사 질환(E00-E90)",마로토-라미 (경도)(중증) 증후군,Maroteaux-Lamy (mild)(severe) syndrome,"점액다당류증 VI형(Mucopolysaccharidosis type VI; MPS Vi; MPS6),아릴설페이트분해효소B 결핍증(Arylsulfatase B deficiency),N-아세틸갈락토사민-4-설페이트분해효소 결핍증   (ARSB deficiency),N-Acetylgalactosamine-4-sulfatase deficiency,","다발성 뼈발생이상 (dysostosis multiplex), 각막혼탁, 관절구축, 교통성 수두증, 조악한 얼굴모양, 판막형 심질환 ","상염색체열성유전, ARSB 유전자의 돌연변이로 인한 N-acetylgalactosamine -4-sulfatase (arylsulfatase B) 효소 결핍 ","소변 박층(薄層)크로마토그래피 (Thin layer chromatography), 효소분석, 유전자 검사",효소치료
352,"선천 기형,변형 및 염색체 이상(Q00-Q99)",마르팡증후군,Marfan’s syndrome,"마르팡 증훈군 또는 마르판 증후군(Marfan’s syndrome),거미손가락증(Arachnodactyly),구축성 거미손가락증(Contractural Arachnodactyly),세장사지증, 거미다리증, 거미팔증(Dolichostenomelia),마르판(팡) 과운동 증후군(Marfanoid Hypermobility Syndrome),","키가 크고, 마르고, 얼굴과 사지가 길다, 척추측만증, 승모판 탈출증, 기흉, 수정체 위치이상, 녹내장, 백내장, 근시, 안구돌출, 경막확장, 평발, 거미다리증(dolichostenomelia), 거미손가락증(Arachnodactyly), 오목가슴, 새가슴, 관절 과운동, 손가락굽증(Camptodactyly), 긴머리증(Dolichocephaly), 작은턱증, 광대뼈 형성저하증(Malar hypoplasia), 대동맥판역류(Aortic regurgitation), 망막 박리, 서혜부 탈장","상염색체 우성형질로 유전, 염색체 15번에 위치한 FBN1 유전자의 돌연변이, 염색체 3번의 단완(p)(3p22)에 위치하는 TGF-베타 수용체 2(TGFBR2)유전자의 돌연변이 ","임상적 특징소견, 심초음파, 세극등검사(Slit - lamp eye examination), 골격검사, 가족력 확인, 유전자검사(분자유전학적 검사)","β-adrenergic 차단제, 대동맥 치환술, 항생제, 수술, 유전상담 "
353,신경계통의 질환(G00-G99),마리네스코-쇄그렌 증후군,Marinesco-Sjogren syndrome,",","근육긴장저하증, 백내장, 소뇌실조증, 소뇌위축, 정신지연","상염색체열성유전 ,  SIL1 유전자 돌연변이","임상증상 ,  뇌 MRI ,  근육생검","대증치료 ,  교육 ,  백내장 수술 ,  호르몬대체요법"
354,"선천 기형,변형 및 염색체 이상(Q00-Q99)",마샬-스미스 증후군,Marshall-Smith syndrome,"Accelerated skeletal maturation - peculiar facies - failure to thrive,","두개안면부이상, 사지골격이상, 지능저하, 행동 및 성장발달장애, 신경학적 장애, 골연령 증가, 잦은 폐렴",대부분의 경우 산발적인 발생을 보이지만 일부는 상염색체 우성유전 또는 상염색체 열성유전을 하는 경우도 보고됨.,특징적인 임상적 소견으로 상기 질환을 의심할 수 있으며 빠른 골성장 및 골격계 이상에 대한 방사선학적 검사가 진단에 도움이 됨.,"마샬-스미스 증후군에 대한 근본적인 치료법은 없으나, 성장 부전과 잦은 호흡기 감염으로 인한 호흡부전 등에 대한 대증적인 치료가 가능."
